t,ax,ay,az
5.0,-14.1578,3.4174,-18.0634
5.01,-13.6696,2.9292000000000002,-17.575200000000002
5.0200000000000005,-12.693200000000001,3.4174,-17.575200000000002
5.03,-13.1814,3.4174,-18.5516
5.04,-13.6696,3.4174,-18.5516
5.05,-13.1814,3.9056,-18.0634
5.0600000000000005,-13.6696,2.4410000000000003,-19.0398
5.07,-13.1814,3.9056,-18.0634
5.08,-13.1814,2.9292000000000002,-18.5516
5.09,-12.693200000000001,3.9056,-18.0634
5.1000000000000005,-13.1814,3.4174,-19.0398
5.11,-12.205,3.4174,-18.5516
5.12,-13.6696,3.4174,-19.528000000000002
5.13,-12.693200000000001,4.393800000000001,-18.0634
5.14,-12.693200000000001,3.9056,-18.5516
5.15,-13.6696,3.4174,-18.5516
5.16,-13.6696,3.9056,-17.575200000000002
5.17,-13.6696,3.9056,-18.0634
5.18,-13.1814,3.9056,-17.575200000000002
5.19,-13.6696,4.393800000000001,-16.5988
5.2,-13.1814,3.4174,-17.087
5.21,-12.205,3.4174,-17.575200000000002
5.22,-13.1814,3.4174,-17.087
5.23,-13.6696,3.4174,-17.575200000000002
5.24,-13.6696,3.4174,-16.5988
5.25,-12.693200000000001,4.393800000000001,-18.5516
5.26,-13.6696,3.9056,-16.1106
5.2700000000000005,-13.1814,4.393800000000001,-16.1106
5.28,-13.6696,3.4174,-17.087
5.29,-13.1814,2.9292000000000002,-17.575200000000002
5.3,-13.1814,3.9056,-17.575200000000002
5.3100000000000005,-14.1578,3.4174,-18.0634
5.32,-13.6696,2.4410000000000003,-17.087
5.33,-13.6696,3.4174,-18.0634
5.34,-13.1814,3.4174,-17.575200000000002
5.3500000000000005,-13.1814,2.9292000000000002,-17.575200000000002
5.36,-13.6696,2.4410000000000003,-18.0634
5.37,-13.6696,2.9292000000000002,-18.0634
5.38,-12.693200000000001,3.9056,-18.5516
5.39,-12.693200000000001,2.4410000000000003,-18.0634
5.4,-12.693200000000001,2.9292000000000002,-18.0634
5.41,-12.205,2.9292000000000002,-18.0634
5.42,-13.6696,2.4410000000000003,-17.575200000000002
5.43,-12.205,2.4410000000000003,-17.575200000000002
5.44,-12.693200000000001,2.9292000000000002,-17.575200000000002
5.45,-13.1814,3.4174,-17.575200000000002
5.46,-12.693200000000001,3.9056,-18.0634
5.47,-13.1814,4.393800000000001,-18.0634
5.48,-13.1814,3.9056,-18.0634
5.49,-12.693200000000001,3.4174,-18.0634
5.5,-11.2286,3.9056,-18.0634
5.51,-12.693200000000001,4.393800000000001,-17.087
5.5200000000000005,-12.693200000000001,3.9056,-17.575200000000002
5.53,-12.693200000000001,4.393800000000001,-17.575200000000002
5.54,-13.1814,3.9056,-17.087
5.55,-13.1814,3.4174,-17.087
5.5600000000000005,-12.205,2.4410000000000003,-16.5988
5.57,-13.1814,3.9056,-16.5988
5.58,-13.1814,3.4174,-17.087
5.59,-12.693200000000001,3.9056,-17.087
5.6000000000000005,-13.6696,3.4174,-17.087
